English word	Variant	Diné word	Biological definition in english	Defintion in Diné	Literal Translation	Distinction	See also (English)	See also (Diné)	Use in a sentence (English)	Use in a sentence (Diné)	Phonetic English	Phonetic Diné	English audio file name (leave blank for auto-generated)	Diné audio file name (leave blank for auto-generated)
scientist		naʼałkaahí	People who discover new things and research how things work. They observe, measure, and communicate results	Na'alkaah yeda'aniihgo éé'deetįįh yinidaalnish dóó t'áá ha'át'ííshį́į́ hiná éí doodago naalnishgi át'áo yéé'dítį́į́h. Hada'asííd, ída'neeł'ąąh, dóó bił bééhoozinígíí yaa dahalne'.	Naʼałkaahíí=thing that does the investigating "Reseacher" . naʼałkaah=research, the íí is what makes it describing. 									
sex-linked gene		iiná dooleełii	A gene that is located on a sex chromosome	Bik'ehgo náás oochíiłii iiná bitł'óól ałk'ídeesdizígíí, chromosome, bee at'ééd éí doodago ashkii jileehígíí bąąhgi hólónígíí										
sexual reproduction		oochííł	The combination of gametes from two individuals to form unique offspring that are genetically different from their parents	Bee idí'nóotsąął amá dóó azhé'é bits'ą́ą́dę́ę́' ahidii'ashgo bee t'áá sahdii ázhnoolningo dóó ájít'éego hojileehígíí										
skeleton		ats’íísts’in	The internal hard structure that supports the body of a living thing	Ats'íís biyi'di nitł'izgo ats'íís bá naaz'á éí ats'íís yee sizį́ dóó naha'ná	akágí= skin (you modify the a depending what you're talking about)									
skin		akágí	An organ that formes the outer protective layer of the body.	Ats'íís yee hadít'éii, organ, ats'íís bik'ésti'ígíí										
solar energy		shánídíín	Light, heat, and other kinds of energy given off by the Sun	Shá, jį́honaa'éí, bits'ą́ą́dę́ę́' adinídíín, bits'áníłdoii, dóó bits'áshígishii										
specialist		haniihii	A species that requires specific environmental conditions or specific types of resources. Compare with generalist.	Dahináanii t'ááła' dahyikahgo ts'ídá bá yá'áhoot'éehgo haz'ą́ągi yee hináanii bá hólǫ́ǫgo t'éí náás yikah										
species		hináanii da'ahéelchííh	A group of organisms that can reproduce with one another and produce fertile offspring	Dahináanii t'ááłá'í danilį́įgo ałhá nida'iiłchíigo noosééł				hináanii						
sperm	0	ak'eelyéí	The male sex cell, or gamete in animals.  Compare with egg.	Hináanii biką'ígíí bik'eelyéí. Dabi'áádígíí ałdó' bik'eelyéí hólǫ́, biyeezhii (egg) deiłní.										
sperm	1	íígąsh	@0	@0										
