English word	Variant	Diné word	Biological definition in english	Defintion in Diné	Literal Translation	Distinction	See also (English)	See also (Diné)	Use in a sentence (English)	Use in a sentence (Diné)	Phonetic English	Phonetic Diné	English audio file name (leave blank for auto-generated)	Diné audio file name (leave blank for auto-generated)
hypothesis		haalzíí baa ha'oodzíí'	A testable statement that explains a set of observations.	T'áádoole'é haalzíidgo haa da yit'ée doogo dóó bídí'nóol'ąął bohónéedzą́ baa ha'oodzíí'ígíí										
immigration		yah i'iinééh	The migration of individuals into a particular population or area from other populations or areas.  Compare with emigration.	Bíla'ashdla'ii tádínéehgo bíla'ashdla'ii bił haz'ą́ągo yitah yinééh éí doodago nááná łahgi haz'ą́ągi niinééhgo										
immune system		bee doo ihodééłníinii	A collection of cells and organs that help to defend an organism against pathogens.	Hinááhts'ózí dóó akááz éí doodago atsą́ siléí bitoo' t'áádoole'é ba'át'e' dahólóonii yich'ą́ą́h naalnishígíí										
individual		t'áá łahodít'éhégo	A single, separate organism distinguished from others of the same kind	Hináanii t'ááła' dahyikahígíí t'ááłá'ígo										
infection		naałniih ihodiiłt'i'	An illness caused by a pathogen, such as a virus, bacteria, or parasite.	Ba'át'e' hólóonii (pathogen) bits'ą́ą́dóó ii'noot'į́į́' doodago łóód haleehgo doo ákójít'ée da jileehígíí: naałniih (virus), ch'osh doo yit'íinii, éí doodago yaa' ádaat'éii.										
infectious		ąąh dahaz'ą́ yiłnih	The process of passing on illness or disease.	Ats'íís yihodiiłt'hii dóó yąąh dahooł'aahii idahidilnéehgo										
inherit		bił oochíiłii bee hazhdiidzaa	To receive a particular characteristic from a parent, usually through genes that are passed from parent to offspring.	Hamá dóó hazhé'é bits'ą́ą́dę́ę́' bik'ehgo náás oochíiłii binahjį' yee hadít'éhígíí bił ho'dizhchį́įgo										
inorganic		doo hináanii	Made of non-living materials. Compare with organic.	Ha'át'íi da doo dahináa dago daholónígíí bee ályaa. Hináanii bits'ą́ą́dę́ę́'go éí organic át'ée doo.										
insect		ch'osh	Small animals with six legs and a hard outer shell called an exoskeleton.	Hináanii ch'osh bidi'nínígíí éí hastą́ą́ bijáád dóó bits'a' dahólǫ́ǫgo yee bits'íís niłdzil éí exoskeleton wolyé.										
instinct		ájoot'įįł t'áá hooshch'į' bee joogáałii	An inherited behavior by animals that is not learned	Ha'át'íi da hináanii áát'įįłígíí t'áá bíni' dóó bintsékees át'éego bił yizhchį́, doo t'áá bí yíhooł'ą́ą' da.										
interphase		hinááhts'ózi noosééł	The period of time when a cell grows and copies of DNA are made.	Hinááhts'óóz dínéesą́ą́dóó biyi'di iiná bitł'óól bééda'alne' silį́į'jį				hinááhts'ózí						
intracellular		hinááhts'ózí bita'góó	Between or among cells	Hinááts'ózí bita'góó				hinááhts'ózí						
invasive species		hináanii ach'į' nahwiiłná	A species that was introduced to an ecosystem that was not there before and that causes hardship to other organisms Haa	Haa'í da t'áá íídą́ą́' yá'át'éehgo haz'ą́ągo hináanii nááná łahdę́ę́' yikahgo yah ee'nil nít'ę́ę́' ákwe'é dahinánígíí dóó haz'ánígíí yich'į' nidahwiilná silį́įgo				hináanii						
invertebrate		bíígháán ádaadinii	Any animal lacking a spinal cord (also known as a backbone). Compare with vertebrate.	Hináanii bíígháán ádaadinígíí.										
ion		atom/atom ahii'sinilgo bitsiniltł'ish hólǫ́	Atom or molecule with an electric charge	Atom atsiniltł'ish bąąh hólónígíí										
laboratory		na'alkaahgóne'	A place for science experiments, teaching, or the making of medicine or chemicals	Haa'í da haz'ą́ągo ákone' éé'deetįįh biniyé nida'alkaah, nida'nitin, éí doodago azee' dóó t'áá ha'át'ííshį́į́ béésh da, tó da, níłch'i da ałtah ádaalne'go bee t'áadoole'é ádaalne'										
lipid		ak'ah bizhool	Any organic material that does not dissolve in water but will dissolve in organic materials.  They are often used to make cell membranes.	Hináanii bits'ą́ą́dę́ę́' dahólónígíí doo tó bee nídí'eełii ákondi t'áá yił ahedaałt'éhígíí éí yee nídí'eeł. Bee hinááhts'ózí bik'ésti'ígíí nidahaleeh.										
mass extinction		t'áádoo hodina'í daneezná	Extinction of a large number of species within a short period of time	Hináanii ła' dahyikah nít'ę́ę́' t'áa hodina'í noonééł										
meiosis		ak'eelyéí	When a single cell divides twice to produce four cells containing half the original amount of genetic information. This is how gametes are made.	Hinááhts'ózí naakidi ałts'ánízéehgo dį́į́' yileeh. T'áá dį́į'go bik'ehgo náás oochííł bibee haz'áanii t'áá ałní'ídóó dabiyi' yileeh. Díí ak'eelyéí bee i'niitsąąhii haleeh.										
metaphase		hinááhts'ózí ałts'á níséego iiná bitł'óól ałkéé' niikah	The time during mitosis or meiosis where copies of chromosomes line up in the center of a cell	Hinááhts'ózí t'ááłáhádi éí doodago naakidi ałts'áníséego iiná bitł'óól ałníi'gi hasht'e' niikáahgo hodinaahígíí.				hinááhts'ózí						
microorganism		chʼosh doo yitʼínii	An organism too small to be seen without a microscope	Hináanii doo yit'íinii. Bee adéest'į́į́' dabidziilígíí t'éí bee daat'į́.	bug you can't see									
microscope		doo yit'íinii bee nél'íní	A device that makes very small objects or organisms larger so that they can be observed	Bee adéest'į́į́' ha'át'íi da áłts'íísígo doo yit'į́į da nidi nitsaago daat'į́įgo ádeile'										
migration		kéyah bii'iinééh dóó háá'iinééh	The movement of individuals in and out of a population or area	Bíla'ashdla'ii kéédahat'į́įgi yah ahekááh dóó ch'éédahakááh.										
mimicry		hináanii éél'íní	When one organism looks, sounds, or behaves like another species.	Ha'át'íi da hináanii nááná ła' hináanii yenoolnin, biinéé' yił aheełt'é, éí doodago yeel'į́įgo naaghá.				hináanii						
mineral		hadaat'e'	An inorganic substance that occurs naturally	Nahasdzáán biyi'dę́ę́' t'áádoole'é doo dahináanii bits'ą́ą́dę́ę́' hólónígíí										
mitochondria		bee iinéí ííł'íní	An organelle that takes in nutrients, breaks them down, and creates energy (ATP) for the cell	Hinááhts'ózí bitsą́ siléí ch'iyáán néidił'eeł dóó yee bidziil dóó biinéí yileehígíí										
mitosis		hinááhts'ózí ádéé'iiyaa	When a single cell divides into two identical cells	Hinááhts'ózí t'ááłá'í si'ánígíí ałts'á níséehgo naaki yileehígíí				hinááhts'ózí						
molecule		azhool ałch'į' siláhígíí	Two or more atoms that are joined because they share electrons	Atom naaki éí doodago díkwíi da ahidiilyáago binitsiniltł'ish bináhaazléí (electrons) ahiidiinił										
multicellular		hináanii hinááhts'óóz łą́ągo yee hadít'é	Organisms that consist of more than one cell. Compare with unicellular.	Hináanii bits'íís hinááhts'ózí łą́ągo yee hadít'éhígíí. Ła'éí hinááhts'ózí t'ááłá'ígo bits'íís nilį́.				hináanii						
mutation		bik'ehgo náás oochíiłii łahgo ádzaa	A permanent alteration in the DNA sequence	Iiná bitł'óól łahgo ádzaa.										
mutualism		hináanii ał'ąą át'é ahíłká aná'ahinilchééh	Association between organisms of two different species in which each benefits	Hináanii doo t'ááła' nilį́į da nidi ahíłká aná'ahinilchxéehgo				hináanii						
natural selection		hináanii t'áá ałtso yíníłdzilii	The process where organisms with the highest fitness in an environment survive and reproduce and their phenotypes become more common in the next generation. At the same time, organisms with the lowest fitness fail to survive or reproduce less and their phenotypes become less common in the next generation.	Hoolzhishgo ał'ąą ánáhoo'níiłgo hináanii yídaníłdzilígíí náás yikah dóó oołchíiłgo bits'íís hadidzaaígíí ayóo yit'į́. Łahgo át'éego éí hináanii bił áhoot'éhígíí doo yíníłdzilgóó éí t'óó áádįįł dóó bits'íís doo łahgo áániił da doo.				hináanii						
negative feedback loop		doo łahgo áyooliił da	When the outcome of a process reduces further change and the process becomes stable	Ha'át'íi da naalnishgo hoolzhish nít'ę́ę́' ni'áániił silį́į́' dóó bits'ą́ą́dóó doo łahgo áhooniił da yileeh éí náasdi hasht'e didooteeł										
negative feedback loop		t'áá łahígi niighááh	When the outcome of a process reduces further change and the process becomes stable	Ha'át'íi da naalnishgo hoolzhish nít'ę́ę́' ni'áániił silį́į́' dóó bits'ą́ą́dóó doo łahgo áhooniił da yileeh éí náasdi hasht'e didooteeł										
nerve		ats'óóz	Nerves are a collection of neurons that carry signals throughout the body	Ats'óóz t'áá łá'í nít'i'ígíí ats'íístahdi łą́ągo ahidadiit'i'go ats'íís yee ákonízin										
nervous system		ats'óóz bee hahodít'é	The brain, spinal cord, and nerves of an animal that together receive messages from other parts of the body and control how the body functions	Atsiighąą', atsiighąą' íígháán bii'nít'i'ígíí dóó ats'óóz t'áá ałtso hináanii bits'íís yee hadít'éhígíí ats'íístahgóó da'ahi'niihgo ats'íís hiná.										
