English word	English variant	Diné variant	Diné word	Biological definition in english	Defintion in Diné	Literal Translation	Distinction	See also (English)	See also (Diné)	Use in a sentence (English)	Use in a sentence (Diné)	Phonetic English	Phonetic Diné	English audio file name (leave blank for auto-generated)	Diné audio file name (leave blank for auto-generated)
greenhouse gas			níłch'i hado yiłhidideełii	Any gas that can absorb heat from Earth's surface and keeps it from leaving the atmosphere into space.	Níłch'i nahasdzáán bikáá'góó náhoniidohígíí yił hidideeł dóó doo yiidichxíid dago biniinaa doo nahasdzáán bits'ą́ąjį' aheldóoh da.					Greenhouse gases act like a blanket around Earth, trapping heat instead of letting it escape from the atmosphere.					
habitat			hináanii bił haz'ą́	Place where an organism or a community of organisms lives, including all living and nonliving factors or conditions of the environment	Dahináanii kééhat'į́įgi áádóó ákwe'é haz'ą́ągi t'áá ałtsoní bee hahodít'éego haz'ą́				hináanii	Some animal species can only survive in a specific habitat, like roadrunners that live in the deserts, brushlands, and grasslands of North America.					
haploid			iiná bitł'óól t'áá łá'í	A cell or organism having a single set of chromosomes	Hinááts'ózí éí doodago hináanii bits'íístahdi iiná bitł'óól ałk'ídeesdizígíí chromosomes t'ááłáhájí t'éí biyi'di hólǫ́					Unlike most cells in our body, egg and sperm cells are haploid and have one copy of each chromosome.					
herbivore			naaldlooshii ch'il yiłchozhígíí	Animals that eat plants	Na'at'i'í éí doodago naaldlooshii chil deiłchozhígíí					Rabbits are herbivores that only eat leaves, seeds, twigs, and other parts of plants.					
heredity			bił náás oochíił	The passing on of traits from parents to offspring through genetic information.	Dahináanii yizhchíigo bimá dóó bizhé'é yik'ehgo náás oołchíiłii bee bik'i' aschínígíí yee hadít'é yileeh					Scientific discoveries about heredity allow scientists to identify the causes of many genetic disorders.					
heterotroph			hináanii ch'il dóó naaldlooshii yiyánígíí	An organism that eats plants or animals for energy and nutrients (compare with autotroph)	Ha'át'íi da hináanii bidziil dóó yee hináadoo biniyé ch'il/nanise' dóó níláhgóó dahináanii yiyą́				hináanii	People, insects, fish, and birds are examples of heterotrophs because they must eat plants and animals to survive.					
heterozygote			bik'ehgo náás oochíiłii naaki ał'ąą át'é	An individual who has two different alleles of a gene. Compare with homozygote.	Bíla'ashdla'ii bi'iiná bitł'óól bąąhgi bik'ehgo náás oochíiłii gene naaki ał'ąą át'éego hólónígíí					Individuals who only have one sickle cell allele are heterozygotes at that locus and will not display sickle cell disease.					
hibernate			haigo iilhoshii	A state in which an animal’s body processes are slower than usual, its body temperature falls, and its activities are limited, usually during winter or when food is scarce.	Haigo éí doodago ch'iyáán doo łą́ dahólǫ́ǫ da haleehgo na'at'i'í dóó naaldlooshii bits'íís ni'át'įįh, doo ayóo naha'ná da, doo ayóo sizil da,					Many animals that live in the mountains hibernate because there is little food in the cold winter months. 					
homeostasis			t'ááłáhági áhoot'é	The ability of the body or a cell to maintain a stable internal environment despite changes in external conditions.	Níláhgóó ał'ąą ánáhoo'níił nidi ats'íístah di doodago hinááhts'óóz/ats'íís bitł'óól biyi'di t'ááłáhági áhoot'é.					You sweat when it is hot and shiver when it is cold because of homeostasis. This is your body's way of staying at a constant temperature.					
homologous			iiná bitł'óól aheełt'é	Similarity of DNA or RNA sequences, proteins, or traits due to shared ancestry	Iiná bitł'óól, DNA dóó RNA t'áá áłah ałkéé' danéedééhígíí, ats'íís bee haleehii proteins, éí doodago bik'ehgo ázhnoolnin dóó ájít'é yileehígíí ahedaałt'éego					Bees, ants, and wasps share a homologous trait of three-part bodies (abdomen, thorax, and head) because they have shared ancestry.					
homozygote			bik'ehgo náás oochíiłii naaki aheełt'é	An individual who has two of the same alleles for a gene. Compare with heterozygote.	Bíla'ashdla'ii ła' biyik'ehgo náás oołchíiłii łahgo át'é silį́į́'ígíí naakigo bee hólǫ́.					Individuals who have two sickle cell alleles are homozygotes at that locus and will display sickle cell disease.					
hormone			akááz bitoo'	Chemical substances that act as messenger molecules in the body. After being made in one part of the body, they travel to other parts of the body where they help control how cells and organs do their work	Akááz bitoo' ats'íís yee ákonízinígíí. Ats'íís biyi'di haleeh aadóó ats'íístahgóó hoo'nááł yileeh.					Type II diabetes is a result of being unable to regulate blood sugar levels because the body doesn't respond to a hormone called insulin correctly.					
hydrophillic			tó bitah yileehii	Molecules and surfaces that do interact with water	Ha'át'íi da bizhool,  molecules, éí doodago bikáá'góó tó bił ałtah yileehígíí					Salt is hydrophilic; it is easily dissolved when it is mixed with water.					
hydrophobic			tó doo bitah yileehii	Molecules and surfaces that do no interact with water	Ha'át'íi da bizhool,  molecules, éí doodago bikáá'góó tó doo bił ałtah yileehígíí					Oil is hydrophobic; it will not dissolve when mixed with water.					
hypothesis			haalzíí baa ha'oodzíí'	A testable statement that explains a set of observations.	T'áádoole'é haalzíidgo haa da yit'ée doogo dóó bídí'nóol'ąął bohónéedzą́ baa ha'oodzíí'ígíí					You think bees prefer sunny days over cloudy days because it is unlikely to rain on sunny days.  You test your hypothesis by comparing the number of bees visiting flowers on both sunny and cloudy days.					
immigration			yah i'iinééh	The migration of individuals into a particular population or area from other populations or areas.  Compare with emigration.	Bíla'ashdla'ii tádínéehgo bíla'ashdla'ii bił haz'ą́ągo yitah yinééh éí doodago nááná łahgi haz'ą́ągi niinééhgo					When you get a cut it is important to wash it with soap and water so you do not get an infection. 					
immune system			bee doo ihodééłníinii	A collection of cells and organs that help to defend an organism against pathogens.	Hinááhts'ózí dóó akááz éí doodago atsą́ siléí bitoo' t'áádoole'é ba'át'e' dahólóonii yich'ą́ą́h naalnishígíí					Someone who has the flu is infectious for the first couple of days because they can give the flu to others. 					
individual			t'áá łahodít'éhégo	A single, separate organism distinguished from others of the same kind	Hináanii t'ááła' dahyikahígíí t'ááłá'ígo					Type II diabetes is a result of being unable to regulate blood sugar levels because the body doesn't respond to a hormone called insulin correctly.					
infection			naałniih ihodiiłt'i'	An illness caused by a pathogen, such as a virus, bacteria, or parasite.	Ba'át'e' hólóonii (pathogen) bits'ą́ą́dóó ii'noot'į́į́' doodago łóód haleehgo doo ákójít'ée da jileehígíí: naałniih (virus), ch'osh doo yit'íinii, éí doodago yaa' ádaat'éii.					Our immune system is made up of white blood cells and tissues like our skin which can protect us from bacterial and viral infections					
infectious			ąąh dahaz'ą́ yiłnih	The process of passing on illness or disease.	Ats'íís yihodiiłt'hii dóó yąąh dahooł'aahii idahidilnéehgo					One individual corn plant will produce between two and four ears of corn.					
inherit			bił oochíiłii bee hazhdiidzaa	To receive a particular characteristic from a parent, usually through genes that are passed from parent to offspring.	Hamá dóó hazhé'é bits'ą́ą́dę́ę́' bik'ehgo náás oochíiłii binahjį' yee hadít'éhígíí bił ho'dizhchį́įgo					When somone notices that siblings look alike, they are seeing similar traits that the siblings inherited from their parents. 					
inorganic			doo hináanii	Made of non-living materials. Compare with organic.	Ha'át'íi da doo dahináa dago daholónígíí bee ályaa. Hináanii bits'ą́ą́dę́ę́'go éí organic át'ée doo.					Inorganic substances like metal and turquoise can be used to make a turquoise bracelet.					
insect			ch'osh	Small animals with six legs and a hard outer shell called an exoskeleton.	Hináanii ch'osh bidi'nínígíí éí hastą́ą́ bijáád dóó bits'a' dahólǫ́ǫgo yee bits'íís niłdzil éí exoskeleton wolyé.					A ladybug is an insect because it has six legs and an outer shell; however, a tick is not an insect because it does not have six legs.					
instinct			ájoot'įįł t'áá hooshch'į' bee joogáałii	An inherited behavior by animals that is not learned	Ha'át'íi da hináanii áát'įįłígíí t'áá bíni' dóó bintsékees át'éego bił yizhchį́, doo t'áá bí yíhooł'ą́ą' da.					Building a nest is an instinct; birds know how to build nests without being taught. 					
interphase			hinááhts'ózi noosééł	The period of time when a cell grows and copies of DNA are made.	Hinááhts'óóz dínéesą́ą́dóó biyi'di iiná bitł'óól bééda'alne' silį́į'jį				hinááhts'ózí	Cells spend most of their time in interphase, before making preparations to divide.					
intracellular			hinááhts'ózí bita'góó	Between or among cells	Hinááts'ózí bita'góó				hinááhts'ózí	If the rooms of your house are cells, the hallways between the rooms are like intercellular space.					
intercellular				Located or occuring between or among cells. Compare with intracellular.						If the rooms of your house are cells, the hallways between the rooms are like intercellular space.					
invasive species			hináanii ach'į' nahwiiłná	A species that was introduced to an ecosystem that was not there before and that causes hardship to other organisms Haa	Haa'í da t'áá íídą́ą́' yá'át'éehgo haz'ą́ągo hináanii nááná łahdę́ę́' yikahgo yah ee'nil nít'ę́ę́' ákwe'é dahinánígíí dóó haz'ánígíí yich'į' nidahwiilná silį́įgo				hináanii	Russian olive trees and buffelgrass are invasive species that outcompete native species and negatively affect of the environment.					
invertebrate			bíígháán ádaadinii	Any animal lacking a spinal cord (also known as a backbone). Compare with vertebrate.	Hináanii bíígháán ádaadinígíí.					Worms, bees, and snails are all invertebrates.					
ion			atom/atom ahii'sinilgo bitsiniltł'ish hólǫ́	Atom or molecule with an electric charge	Atom atsiniltł'ish bąąh hólónígíí					A neutral atom has equal amounts of positive and negative charges, but an atom that becomes more positively or negatively charged is an ion.					
laboratory			na'alkaahgóne'	A place for science experiments, teaching, or the making of medicine or chemicals	Haa'í da haz'ą́ągo ákone' éé'deetįįh biniyé nida'alkaah, nida'nitin, éí doodago azee' dóó t'áá ha'át'ííshį́į́ béésh da, tó da, níłch'i da ałtah ádaalne'go bee t'áadoole'é ádaalne'					Any space set aside for performing science experiments is a laboratory. This could even include your own backyard. 					
lipid			ak'ah bizhool	Any organic material that does not dissolve in water but will dissolve in organic materials.  They are often used to make cell membranes.	Hináanii bits'ą́ą́dę́ę́' dahólónígíí doo tó bee nídí'eełii ákondi t'áá yił ahedaałt'éhígíí éí yee nídí'eeł. Bee hinááhts'ózí bik'ésti'ígíí nidahaleeh.					Butter, lard, and oil are examples of lipids, which make up our cell membranes.					
mammal				Vertebrate animals that have hair or fur, produce milk, and often give birth to live offspring.						Mammals live in a variety of different environments. For example, horses run on land, whales swim in the ocean, and bats fly through the sky.  					
mass extinction			t'áádoo hodina'í daneezná	Extinction of a large number of species within a short period of time	Hináanii ła' dahyikah nít'ę́ę́' t'áa hodina'í noonééł					Mammals live in a variety of different environments. For example, horses run on land, whales swim in the ocean, and bats fly through the sky.  					
meiosis		0	ak'eelyéí	When a single cell divides twice to produce four cells containing half the original amount of genetic information. This is how gametes are made.	Hinááhts'ózí naakidi ałts'ánízéehgo dį́į́' yileeh. T'áá dį́į'go bik'ehgo náás oochííł bibee haz'áanii t'áá ałní'ídóó dabiyi' yileeh. Díí ak'eelyéí bee i'niitsąąhii haleeh.					Scientists are concerned that climate change could cause a mass extinction event, similar to the one that occurred after the last Ice Age.					
metabolism				The chemical reactions in the body's cells that change food into energy.						Your body's metabolism is influenced by the food you eat, your age, and how much you exercise.					
metaphase			hinááhts'ózí ałts'á níséego iiná bitł'óól ałkéé' niikah	The time during mitosis or meiosis where copies of chromosomes line up in the center of a cell	Hinááhts'ózí t'ááłáhádi éí doodago naakidi ałts'áníséego iiná bitł'óól ałníi'gi hasht'e' niikáahgo hodinaahígíí.				hinááhts'ózí						
matter				Any substance that has mass and takes up space.						A flashlight, a stove, and a cow are all made of matter.  However, the light from a flashlight, the heat from a stove, and the sound of a cow are not types of matter.  These are all forms of energy.					
microorganism		1	chʼosh doo yitʼínii	An organism too small to be seen without a microscope	Hináanii doo yit'íinii. Bee adéest'į́į́' dabidziilígíí t'éí bee daat'į́.	bug you can't see				Sperm and egg cells are created through meiosis.					
microscope			doo yit'íinii bee nél'íní	A device that makes very small objects or organisms larger so that they can be observed	Bee adéest'į́į́' ha'át'íi da áłts'íísígo doo yit'į́į da nidi nitsaago daat'į́įgo ádeile'					You need a microscope to see cells dividing.					
migration			kéyah bii'iinééh dóó háá'iinééh	The movement of individuals in and out of a population or area	Bíla'ashdla'ii kéédahat'į́įgi yah ahekááh dóó ch'éédahakááh.					To find food, geese migrate to the north during the summer and migrate back to the south during the winter.					
mimicry			hináanii éél'íní	When one organism looks, sounds, or behaves like another species.	Ha'át'íi da hináanii nááná ła' hináanii yenoolnin, biinéé' yił aheełt'é, éí doodago yeel'į́įgo naaghá.				hináanii	Stick insects use mimicry to trick predators into thinking they are twigs.					
mineral			hadaat'e'	An inorganic substance that occurs naturally	Nahasdzáán biyi'dę́ę́' t'áádoole'é doo dahináanii bits'ą́ą́dę́ę́' hólónígíí					Precious stones like onyx and turquiose are minerals.					
mitochondria			bee iinéí ííł'íní	An organelle that takes in nutrients, breaks them down, and creates energy (ATP) for the cell	Hinááhts'ózí bitsą́ siléí ch'iyáán néidił'eeł dóó yee bidziil dóó biinéí yileehígíí					Power plants supply electricity to your home, just like the mitochondria supplies energy to the cell. 					
mitosis			hinááhts'ózí ádéé'iiyaa	When a single cell divides into two identical cells	Hinááhts'ózí t'ááłá'í si'ánígíí ałts'á níséehgo naaki yileehígíí				hinááhts'ózí	As we grow, our cells divide through mitosis to create new cells.					
molecule			azhool ałch'į' siláhígíí	Two or more atoms that are joined because they share electrons	Atom naaki éí doodago díkwíi da ahidiilyáago binitsiniltł'ish bináhaazléí (electrons) ahiidiinił					Water is a molecule because it is made when two hydrogen atoms and one oxygen atom combine together. 					
multicellular			hináanii hinááhts'óóz łą́ągo yee hadít'é	Organisms that consist of more than one cell. Compare with unicellular.	Hináanii bits'íís hinááhts'ózí łą́ągo yee hadít'éhígíí. Ła'éí hinááhts'ózí t'ááłá'ígo bits'íís nilį́.				hináanii	Horses, mushrooms, and cacti are multicellular organisms because they are made of many cells. 					
mutation			bik'ehgo náás oochíiłii łahgo ádzaa	A permanent alteration in the DNA sequence	Iiná bitł'óól łahgo ádzaa.					Mutations are common.  Every person has a lot of mutations, but most of them are not harmful.					
mutualism			hináanii ał'ąą át'é ahíłká aná'ahinilchééh	Association between organisms of two different species in which each benefits	Hináanii doo t'ááła' nilį́į da nidi ahíłká aná'ahinilchxéehgo				hináanii	A mutualism occurs between people and the bacteria that live in our intestines.  The bacteria gain nutrients while they help us digest food.					
natural selection			hináanii t'áá ałtso yíníłdzilii	The process where organisms with the highest fitness in an environment survive and reproduce and their phenotypes become more common in the next generation. At the same time, organisms with the lowest fitness fail to survive or reproduce less and their phenotypes become less common in the next generation.	Hoolzhishgo ał'ąą ánáhoo'níiłgo hináanii yídaníłdzilígíí náás yikah dóó oołchíiłgo bits'íís hadidzaaígíí ayóo yit'į́. Łahgo át'éego éí hináanii bił áhoot'éhígíí doo yíníłdzilgóó éí t'óó áádįįł dóó bits'íís doo łahgo áániił da doo.				hináanii	Natural selection will favor desert mice with light fur because they are less likely to be seen by predators.					
negative feedback loop			doo łahgo áyooliił da	When the outcome of a process reduces further change and the process becomes stable	Ha'át'íi da naalnishgo hoolzhish nít'ę́ę́' ni'áániił silį́į́' dóó bits'ą́ą́dóó doo łahgo áhooniił da yileeh éí náasdi hasht'e didooteeł					The thermostat functions as a negative feedback loop because it keeps the temperature within a building stable by turning on the air conditioning if the temperature gets too hot or turning it off if it gets too cold.					
negative feedback loop			t'áá łahígi niighááh	When the outcome of a process reduces further change and the process becomes stable	Ha'át'íi da naalnishgo hoolzhish nít'ę́ę́' ni'áániił silį́į́' dóó bits'ą́ą́dóó doo łahgo áhooniił da yileeh éí náasdi hasht'e didooteeł					When you get near a hot stove, your skin sends signals to your brain through your nerves to warn you to move away.					
nerve			ats'óóz	Nerves are a collection of neurons that carry signals throughout the body	Ats'óóz t'áá łá'í nít'i'ígíí ats'íístahdi łą́ągo ahidadiit'i'go ats'íís yee ákonízin					Parkinson's disease is a disorder of the nervous system that occurs when neurons start to die, which affects the body's movement					
nervous system			ats'óóz bee hahodít'é	The brain, spinal cord, and nerves of an animal that together receive messages from other parts of the body and control how the body functions	Atsiighąą', atsiighąą' íígháán bii'nít'i'ígíí dóó ats'óóz t'áá ałtso hináanii bits'íís yee hadít'éhígíí ats'íístahgóó da'ahi'niihgo ats'íís hiná.					Each of your fingertips has over 3,000 neurons which send signals to your brain about the things you touch or feel.					
neuron			atsiniltł'ish yooléełii	Cells that carry electrical charges through the body and are part of the nervous system. Also known as a nerve cell.	Ats'óóz t'áá łá'í nít'i'ígíí bitsiniltł'ish bąąhgóó hólǫ́. Nerve cell ałdó' deiłní.					Neutrons have the same weight as protons but have no charge. Together with protons, they form the nucleus of the atom and determine its weight.					
neutron			bitsiniltł'ish ádin	The components of an atom that have no charge	Atom yee hadít'éhígíí atsiniltł'ish bąąhgóó ádin.					The nitrogen cycle describes the way nitrogen atoms move around the Earth.  Nitrogen atoms move around when organisms decompose, when bacteria absorb and release nitrogen, and when fertilizer used on crops washes into rivers and streams.					
nitrogen cycle			níłch'i nitrogen hinílá	The movement of nitrogen through living organisms, the atmosphere, and the ground.	Níłch'i t'óó ahayóijį' t'áádoole'é dabitah nahasdzáán bikáagi, nahasdzáán biyi'góó, hót'áahdi níłch'i biyi'góó, dóó dahinánígíí bitahgóó ahéénílį́.					The order of nucleotides in a strand of DNA and RNA determines the protein produced.					
nucleotide			iiná bitł'óól bee ályaii	The building blocks of the RNA and DNA, also known as 'bases'. The symbols for the four bases are A, T, G, and C.	Iiná bitł'óól, DNA dóó RNA bee haleehígíí (base deiłníigo hináanii bee hodooleełígíí)					The nucleus of an oxygen atom contains 8 protons and 8 neutrons.					
nucleus (atomic)				The central part of an atom that includes the protons and neutrons.						The nucleus of an oxygen atom contains 8 protons and 8 neutrons.					
nucleus (cell)			hinááhts'ózí bijéí	The part of the cell that controls the functions of the cell and where DNA is found within a plasma membrane	Hinááhts'óóz yee naalnishgo biyi'di iiná bitł'óól ak'ah bineestiin, plasma. bik'í da'asti'go daholǫ́.				hinááhts'ózí	Most cells of organisms that are eukaryotes have a nucleus in their cells.  In animals, red blood cells do not have a nucleus.					
nutrient			ats'íís yee hináanii	A substance that is needed for healthy growth, development, and function	T'áá ha'át'ííshį́į́ yidą́ągo bee na'nise', bee anoosééł, dóó binahjį' naanish ła' yit'ínígíí.					Foods like vegetables and meats are high in nutrients and will help you grow.  Foods like potato chips and candy provide few nutrients to help sustain your body. 					
observation	0		haalzííd	The data measured or seen, often during an experiment	Na'alkaahgo bééhózin silį́į'ii anáá' bee yitį́įgo haalzíídígíí.					You are making an observation when you feel a change in the weather, see a cloudy sky, or hear thunder. 					
observation	1		nél'į́	@0	@0										
omnivore			ch'il dóó naaldloozhii yiyání	An animal that eats both plants and animals	Hináanii ch'il dóó hináanii naaldeehígíí bich'iiyą' áyósinígíí.					People are ominvores because we can eat both meat and vegetables.					
organ			ats'íístahdi ahil naalnishí	A group of tissues in the body that has a specific form and function	Atsą́siléí t'áá ał'ąą át'éego binaanish dahólónígíí.					Your eyes are organs that help you see, while your heart is an organ that helps circuluate your blood throughout your body.					
organelle			hinááhts'ózí bitsą́siléí	A structure within a cell that is enclosed within its own membrane and has a function	Hinááhts'óóz/ats'íís bitł'óól biyi'di si'ą́ągo bik'ésti'ii hólǫ́ áádóó t'áá ha'át'ííshį́į́ binaanish.				hinááhts'ózí	Organelles in a cell are like organs in a body.  Cell organelles include the nucleus and mitochondria.					
organic			hináanii bits'ą́ą́dę́ę́' ályaa	Made of or made by living organisms. Compare with inorganic.	Hináanii bits'ą́ą́dóó hazlį́į́'ígíí.				hináanii	Organic substances like wood and animal hides can be used to make a drum.					
organism			hináanii	A living thing	Hináanii					Animals, fungi, bacteria, and plants are all examples of organisms. 					
oxygen			níłchʼi bee iináanii	A chemical element found in the air	Níłch'i hót'ááhgóó hólónígíí					Oxygen is a part of the air that we breathe and the water that we drink.					
parasite			yaa'	An organism that lives on or in another organism (its host).	T'áádoole'é hináago nááná łahjį' hináanii choyooł'į́įgo yee hinánígíí.					You could get a parasite like a tapeworm in your gut when you eat undercooked meat from infected animals.					
parasitism			yaa'k'ehgo hiná	The practice of living as a parasite in or on another organism	Hináanii nááná ła' choo'į́įgo bee jiináago.					After they hatch from eggs, ticks survive through parasitsm where they eat blood from mammals.					
pathogen			hináanii doo yit'íinii ba'át'e' hólóonii	A microorganism that causes, or can cause, disease or harm in the organism it lives in or on (its host)	Naałniih éí doodago ch'osh doo yit'íinii ba'át'e' hólǫ́ǫgo ats'íís biyi'di yihodiiłt'ihii.				hináanii	The pathogen COVID-19 affects your lungs which can give you a fever and make it hard to breathe.					
pedigree			náás ahoolchíiłii yildił	A drawing that shows how ancestors and descendents are related	Náás oochííł, bits'ą́ą́dę́ę́' oodáał ii naaltsoos bikáá' naashch'ąą'					You can track the pedigree of a horse if you know who the parents and grandparents were.  This information lets you keep your horses from interbreeding.					
phenotype			ats'íís silį́į' yit'į́ dóó bí'neel'ąąh bíighah	A trait of an individual that can be observed or measured	Bíla'ashdla'ii hazlį́į'go ánoolnin dóó át'éegi yit'į́įgo dóó bí'neel'ąąh bihónéedzą́ągo.					Your hair color is an example of your phenotype. 					
photosynthesis			ch'il dootł'izhí dóó dahinánii shá yee biinéí	The process by which green plants and certain other organisms turns energy from the sun into chemical energy	Ch'il, nanise', dóó dahináanii ła' shánídíín yee bidziil dóó biinéígo áyósinígíí.					When plants photosynthesize, they absorb carbon dioxide and release oxygen that we can breathe.					
physiology			ats'íís hiná silį́į́' naalkaah	How an organism's body functions or the scientific study of how organisms function	Hináanii bits'íís naalnishígíí éí doodago na'alkaahk'ehgo dahináanii bits'íís naalnishígíí bíhoo'aah.					You are studying physiology when you study how blood moves through the heart or nutrients move through a plant.					
pioneer species			haa'í da hahonííchaadgi ałtsé dahiinaadígíí	The species that appear first in recently disturbed areas	Dahináanii alą́ąjį' dahóóchxǫ'góne' adahanééhígíí.					After a forest fire, the first species to reappear is a pioneer species. 					
plant			chʼil	An organism capable of photosynthesis	Nanise' ałtsaas'éí dóó ch'il shánídíín yee bidziilgo á'dólzingo hinánígíí.					Plants live in a variety of different environments. For example, pecan trees grow where it's warm, seaweed grow in the ocean, and piñon trees grow in or near the desert.  					
plasma			dil diyilii	The non-cellular portion of blood	Dił litsooí					Plasma makes up about half of our blood and has important salts, proteins, and antibodies that help fight infection.					
plasma membrane			akágí biyi'dę́ę́ ak'ah bizhool bik'ésti'	A network of lipids and proteins that forms the boundary between the inside of a cell and the environment that surrounds it.  Also called a cell membrane.	Ak'ah bineestiin dóó protein naneesdizgo akágí nilį́įgo t'áádoole'é bikí daasti'					The plasma membrane is like the "skin" of organelles like mitochondria.  It separates the inside of the organelle from the surrounding environment.					
pollution			i’niiyą́ą́	The introduction of harmful materials into the environment. These harmful materials are called pollutants.	T'áádoole'é bááhádzidii tł'óó'di nahaz'ą́ą́góó yahiigeehgo. Díí bááhádzidii pollutants wolyé.					Car exhaust is a type of pollution that can cause lung damage when animals breathe it in.					
population			t'ááłáhági haz'ą́ągi anoosééł	A group of individuals of the same species living and reproducing within a given area	T'ááłáhági haz'ą́ągi bíla'ashdla'ii éí doodago dahináanii t'áá ahedaałt'éhígíí kééhat'į́ dóó da'ahéelchííh					The people in your town, the pine trees in a forest, and the trout in a lake are examples of populations. 					
population density			t'ááłáhági haz'ą́ągi noot'į́į́ł	The number of individuals of the same species living within a given area	Dahináanii kééhat'į́įgi haadahoníłtsogo hahoodzogo bii' haashį́į́ néelt'e' naaldeehígíí.					Albuquerque has a higher population density than Window Rock.  About 3,000 people live in each square mile within Albuquerque while Window Rock has 589 people per square mile.					
positive feedback loop			t'áádoole'é hooleełgo łahgo áhooliił	When the outcome of a process causes further change and the process increases or decreases	Ha'átíi da álnéehgo bil hoolzhishgo álnééhígíí náás áániił éí doodago ni'áániił silį́į́'					Climate change is accelerating because of a positive feedback loop.  Increased carbon dioxide concentrations cause global temperatures to rise. As oceans warm, they can't absorb as much carbon dioxide, which further warms the climate.					
predation			naalzheehii na'ałtseed	The killing and eating of one organism (the prey) by another (the predator)	Hináanii dahináanii nááná ła' neitseed dóó yiyą́ągo.					Predation occurs when a lizard eats a fly, a cat eats a mouse, or a bear eats a fish.					
predator			naalzheehii	An organism that lives mostly by killing and eating other animals	Dahináanii hináanii náánáła' neiłtseed dóó yiyą́ąyee hiná					Mountain lions are predators because they must hunt other animals to survive.					
pregnancy			ootsą́	The period of time in which an unborn offspring is carried within the body.	Ootsą́; I'niitsąąd dóó awéé' hazlį́į'jį'					In African elephants, pregnancy can last up to 22 months while pregnancy in cats is about 9 weeks.					
prey			nidaalzheehii bich'iiyą'	An organism that is hunted or caught for food, usually by a predator.	Dahináanii nááná łahdę́ę́' hináanii nida'ałtseedii chodabooł'ínígíí					Deer are prey for many animals including mountain lions and people. 					
probability			ha'át'íi da doonííł nawólní	The chance that something will happen or of a hypothesis being correct	Haa da hoot'éedoo le' hasingo éí doodago na'alkaahgo naalkaahii ádoonííł nawólnínígíí					When you role a six-sided die, the probability of rolling a three is 1/6, or 16.7%.					
producer			hinánii ch'iyáán bá siláii	Organisms that are capable of photosynthesis and are the basis of a food chain.	Dahináanii shánídíín choyooł'į́įgo yee biinéí dóó bidziil dahólǫ́ éí ts'ídá binahjį' ch'iyáán nihwiileeh					A common food chain in a field includes grass, which are producers that can be eaten by grasshoppers, which then can be eaten by other animals.					
prokaryote			hináanii bihinááhts'ózí bijéí dahólónígíí	A unicellular organism that does not have a nucleus and has few organelles.  Compare with eukaryote.	Ha'át'íi da hinááts'óóz t'ááła'í si'ą́ągo bits'íís nilį́įgo biyi'di bijéí, nucleus doo hólǫ́ǫ da				hináanii	The bacteria in your gut are prokaryotes that help you digest food and defend against pathogens. 					
prophase			hinááhts'óóz ałts'á nooseeł	The first stage of mitosis or meiosis where chromosomes are compressed	Hinááhts'óóz ał'ąą át'éego ałts'á níséego, mitosis éí doodago meiosis, alą́ąjį' bee hahalzhííshígíí				hinááhts'óóz						
protein			ch'iyáán bee ats'íís haleehii	A chain of amino acids that can fold into a specific shape	Ch'iyáán ats'íís bee haleeh dóó hasht'éé yoodlííłígíí, protein, bee haleehígíí, amino acid, da'ahólzha' daaleeh dóó nidaat'ood łeh					Hemoglobin is the protein in a red blood cell that carries oxygen to different parts of your body.					
proton			atom bitsiniltł'ish shá bik'ehgo siláii	The components of an atom that have a positive charge	Atoms yee hadit'éhígíí biniltł'ish shábik'ehgo, clockwise or consistent with the sun's path, siláhígíí bąąh hólǫ́					The number of protons an atom has is its atomic number.  A nitrogen atom has 7 protons while an oxygen atom has 8 protons.					
Punnett square			ats'íís ał'ąą át'é naashch'ąą'	A square drawing used to show the different genotypes possible in the offspring when two individuals reproduce	Bik'ehgo náás oochíiłii ał'ąą ádaat'éego bee hazhdít'éhígíí naasch'ąą'go ál'įįhígíí. Dik'ą́ągo si'ą́ą łeh.					By drawing a punnet square, doctors can easily show new parents what blood types their children could have.					
recessive			akéédóó héesdá	The allele that only determines the phenotype when the organism has two copies of it. Compare with dominant.	Bik'ehgo náás oochíiłii łahgo át'é silį́į́'ígíí, allele, akéédóó naalnishgo bik'ehgo ats'íís haidiił'įįh béé'ályaago naaki hwee hólónígíí.					You have two copies of each chromosome.  Sometimes there is a recessive allele on one chromosome and a dominant allele on the other.  The recessive allele is the one that will not influence the phenotype.					
recessive trait			bee hojileehii akéédóó héesdáii	An inherited characteristic that appears in an offspring if it is received from a parent through a recessive allele. Compare with dominant trait.	Hats'íís dóó ájít'éhígíí bił ho'dizhchínígíí hamá dóó hazhé'é bits'ą́ą́dę́ę́' nízhdiiláhígíí éí bik'ehgo náás oochíił'ii akéédóó naalnishígíí, recessive, bik'ehgo hojizhlį́į́'.					A recessive trait is determined by a recessive allele. For example, if you have an allele for light eyes and an allele for dark eyes you will have dark eyes because the allele for light eyes is recessive.   					
red blood cell			dił łichí'í	The blood cells that carry oxygen	Hadił łichí'í níłch'i'					Anemia occurs when someone doesn't have enough red blood cells.  It can cause people to feel tired, dizzy, or short of breath.					
